sample,R1_filenames,R2_filenames
SRR341581,SRR341581_pass_1.fastq,SRR341581_pass_2.fastq
SRR413581,SRR413581_pass_1.fastq,SRR413581_pass_2.fastq
SRR341585,SRR341585_pass_1.fastq,SRR341585_pass_2.fastq
SRR413582,SRR413582_pass_1.fastq,SRR413582_pass_2.fastq
SRR341586,SRR341586_pass_1.fastq,SRR341586_pass_2.fastq
SRR341587,SRR341587_pass_1.fastq,SRR341587_pass_2.fastq
SRR413584,SRR413584_pass_1.fastq,SRR413584_pass_2.fastq
SRR341588,SRR341588_pass_1.fastq,SRR341588_pass_2.fastq
SRR413585,SRR413585_pass_1.fastq,SRR413585_pass_2.fastq
SRR341589,SRR341589_pass_1.fastq,SRR341589_pass_2.fastq
SRR341599,SRR341599_pass_1.fastq,SRR341599_pass_2.fastq
SRR413587,SRR413587_pass_1.fastq,SRR413587_pass_2.fastq
SRR341600,SRR341600_pass_1.fastq,SRR341600_pass_2.fastq
SRR341601,SRR341601_pass_1.fastq,SRR341601_pass_2.fastq
SRR413592,SRR413592_pass_1.fastq,SRR413592_pass_2.fastq
SRR341602,SRR341602_pass_1.fastq,SRR341602_pass_2.fastq
SRR341604,SRR341604_pass_1.fastq,SRR341604_pass_2.fastq
SRR413593,SRR413593_pass_1.fastq,SRR413593_pass_2.fastq
SRR341606,SRR341606_pass_1.fastq,SRR341606_pass_2.fastq
SRR413594,SRR413594_pass_1.fastq,SRR413594_pass_2.fastq
SRR341609,SRR341609_pass_1.fastq,SRR341609_pass_2.fastq
SRR341636,SRR341636_pass_1.fastq,SRR341636_pass_2.fastq
SRR413597,SRR413597_pass_1.fastq,SRR413597_pass_2.fastq
SRR341645,SRR341645_pass_1.fastq,SRR341645_pass_2.fastq
SRR413598,SRR413598_pass_1.fastq,SRR413598_pass_2.fastq
SRR341646,SRR341646_pass_1.fastq,SRR341646_pass_2.fastq
SRR413599,SRR413599_pass_1.fastq,SRR413599_pass_2.fastq
SRR341652,SRR341652_pass_1.fastq,SRR341652_pass_2.fastq
SRR341654,SRR341654_pass_1.fastq,SRR341654_pass_2.fastq
SRR413600,SRR413600_pass_1.fastq,SRR413600_pass_2.fastq
SRR341655,SRR341655_pass_1.fastq,SRR341655_pass_2.fastq
SRR413601,SRR413601_pass_1.fastq,SRR413601_pass_2.fastq
SRR341657,SRR341657_pass_1.fastq,SRR341657_pass_2.fastq
SRR413603,SRR413603_pass_1.fastq,SRR413603_pass_2.fastq
SRR341660,SRR341660_pass_1.fastq,SRR341660_pass_2.fastq
SRR341661,SRR341661_pass_1.fastq,SRR341661_pass_2.fastq
SRR413605,SRR413605_pass_1.fastq,SRR413605_pass_2.fastq
SRR341663,SRR341663_pass_1.fastq,SRR341663_pass_2.fastq
SRR341664,SRR341664_pass_1.fastq,SRR341664_pass_2.fastq
SRR413606,SRR413606_pass_1.fastq,SRR413606_pass_2.fastq
SRR341665,SRR341665_pass_1.fastq,SRR341665_pass_2.fastq
SRR341669,SRR341669_pass_1.fastq,SRR341669_pass_2.fastq
SRR413607,SRR413607_pass_1.fastq,SRR413607_pass_2.fastq
SRR341670,SRR341670_pass_1.fastq,SRR341670_pass_2.fastq
SRR413608,SRR413608_pass_1.fastq,SRR413608_pass_2.fastq
SRR341673,SRR341673_pass_1.fastq,SRR341673_pass_2.fastq
SRR413610,SRR413610_pass_1.fastq,SRR413610_pass_2.fastq
SRR341674,SRR341674_pass_1.fastq,SRR341674_pass_2.fastq
SRR413613,SRR413613_pass_1.fastq,SRR413613_pass_2.fastq
SRR341675,SRR341675_pass_1.fastq,SRR341675_pass_2.fastq
SRR413614,SRR413614_pass_1.fastq,SRR413614_pass_2.fastq
SRR413615,SRR413615_pass_1.fastq,SRR413615_pass_2.fastq
SRR413616,SRR413616_pass_1.fastq,SRR413616_pass_2.fastq
SRR413617,SRR413617_pass_1.fastq,SRR413617_pass_2.fastq
SRR413618,SRR413618_pass_1.fastq,SRR413618_pass_2.fastq
SRR413619,SRR413619_pass_1.fastq,SRR413619_pass_2.fastq
SRR341676,SRR341676_pass_1.fastq,SRR341676_pass_2.fastq
SRR413620,SRR413620_pass_1.fastq,SRR413620_pass_2.fastq
SRR341681,SRR341681_pass_1.fastq,SRR341681_pass_2.fastq
SRR341684,SRR341684_pass_1.fastq,SRR341684_pass_2.fastq
SRR413621,SRR413621_pass_1.fastq,SRR413621_pass_2.fastq
SRR341687,SRR341687_pass_1.fastq,SRR341687_pass_2.fastq
SRR413623,SRR413623_pass_1.fastq,SRR413623_pass_2.fastq
SRR341693,SRR341693_pass_1.fastq,SRR341693_pass_2.fastq
SRR413625,SRR413625_pass_1.fastq,SRR413625_pass_2.fastq
SRR341713,SRR341713_pass_1.fastq,SRR341713_pass_2.fastq
SRR413626,SRR413626_pass_1.fastq,SRR413626_pass_2.fastq
SRR413575,SRR413575_pass_1.fastq,SRR413575_pass_2.fastq
SRR413634,SRR413634_pass_1.fastq,SRR413634_pass_2.fastq
SRR413576,SRR413576_pass_1.fastq,SRR413576_pass_2.fastq
SRR413578,SRR413578_pass_1.fastq,SRR413578_pass_2.fastq
SRR413637,SRR413637_pass_1.fastq,SRR413637_pass_2.fastq
SRR413579,SRR413579_pass_1.fastq,SRR413579_pass_2.fastq
SRR413642,SRR413642_pass_1.fastq,SRR413642_pass_2.fastq
SRR413652,SRR413652_pass_1.fastq,SRR413652_pass_2.fastq
SRR413580,SRR413580_pass_1.fastq,SRR413580_pass_2.fastq
SRR413660,SRR413660_pass_1.fastq,SRR413660_pass_2.fastq
SRR413661,SRR413661_pass_1.fastq,SRR413661_pass_2.fastq
SRR413670,SRR413670_pass_1.fastq,SRR413670_pass_2.fastq
SRR413688,SRR413688_pass_1.fastq,SRR413688_pass_2.fastq
SRR413758,SRR413758_pass_1.fastq,SRR413758_pass_2.fastq
SRR413768,SRR413768_pass_1.fastq,SRR413768_pass_2.fastq
